# 명사
[-s]
das Auto, 자동차
das Baby, 아기
der Blog, 블로그
das Büro, 사무실
das Café, 카페
die Cafeteria, 카페테리아
der Chef, 상사
der Club, 클럽
der Comic, 만화
das Doppelzimmer, 2인실
das E-Book, 전자책
die E-Mail, 이메일
der Fan, 팬
das Foto, 사진
das Handy, 휴대폰
das Hobby, 취미
das Hotel, 호텔
das Interview, 인터뷰
der Job, 직업
die Kamera, 카메라
das Kino, 영화관
der Krimi, 추리 소설
der Laptop, 노트북
der Link, 링크
das Mobiltelefon, 휴대폰
das Parfum, 향수
der Park, 공원
die Party, 파티
das Praktikum, 인턴십
das Programm, 프로그램
das Radio, 라디오
das Reisebüro, 여행사
das Restaurant, 식당
das Sofa, 소파
das Tablet, 태블릿
das Taxi, 택시
das Team, 팀
der Tee, 차
das Ticket, 티켓
das Training, 훈련
das T-Shirt, 티셔츠

[-]
der Artikel, 기사
der Babysitter, 베이비시터
das Brötchen, 롤빵
der Computer, 컴퓨터
der Drucker, 프린터
der Empfänger, 수신자
das Essen, 음식
das Fenster, 창문
der Fernseher, 텔레비전
der Hamburger, 햄버거
das Hähnchen, 닭고기
der Keller, 지하실
der Koffer, 여행 가방
der Kuchen, 케이크
der Laden, 상점
der Löffel, 숟가락
das Mädchen, 소녀
der Mantel, 외투
das Messer, 칼
der Mitarbeiter, 동료
das Mittagessen, 점심 식사
das Mittel, 수단
der Motorroller, 스쿠터
der Pullover, 풀오버
der Reiseführer, 여행 가이드
der Rentner, 은퇴자
der Rücken, 등
der Rucksack, 배낭
der Schalter, 카운터
der Schirm, 우산
der Schlüssel, 열쇠
das Schlafzimmer, 침실
der Stiefel, 부츠
der Teller, 접시
das Theater, 극장
der Wagen, 자동차
das Wohnzimmer, 거실
das Zimmer, 방
der Zettel, 쪽지

[-e]
das Angebot, 제안
der Anruf, 전화
der Apparat, 기기
der Arm, 팔
der Ausweis, 신분증
der Balkon, 발코니
der Bahnsteig, 승강장
das Bein, 다리
der Beruf, 직업
der Besuch, 방문
der Brief, 편지
das Brot, 빵
der Eingang, 입구
der Eintritt, 입장료
das Fest, 축제
der Film, 영화
der Fisch, 생선
das Gegenteil, 반대
das Gerät, 장치
das Gericht, 요리
das Geschäft, 가게
das Geschenk, 선물
das Gespräch, 대화
das Getränk, 음료
das Gleis, 선로
der Haushalt, 가정
der Kontakt, 연락
das Konzert, 콘서트
das Öl, 기름
das Paar, 한 쌍
das Paket, 소포
das Papier, 종이
der Pass, 여권
das Plakat, 포스터
das Problem, 문제
das Produkt, 제품
das Projekt, 프로젝트
der Prospekt, 안내서
das Rätsel, 수수께끼
das Rezept, 레시피
der Ring, 반지
das Salz, 소금
der Satz, 문장
der Schuh, 신발
das Spiel, 게임
der Sportplatz, 운동장
der Text, 텍스트
das Tier, 동물
der Tisch, 테이블
der Titel, 제목
der Urlaub, 휴가
der Verein, 동호회
der Weg, 길
der Wein, 와인
der Witz, 농담
das Zelt, 텐트
das Ziel, 목표

[-n]
die Adresse, 주소
die Ampel, 신호등
die Anzeige, 광고
die Apotheke, 약국
die Aufgabe, 과제
das Auge, 눈
die Banane, 바나나
der/die Bekannte, 지인
die Birne, 배
die Blume, 꽃
die Bluse, 블라우스
die Bohne, 콩
die Ecke, 구석
die Familie, 가족
die Farbe, 색
die Flasche, 병
die Frage, 질문
die Gabel, 포크
die Garage, 차고
die Geschichte, 이야기
die Gitarre, 기타
die Größe, 크기
die Gruppe, 그룹
die Halle, 홀
die Haltestelle, 정류장
die Idee, 아이디어
die Insel, 섬
die Jacke, 재킷
der/die Jugendliche, 청소년
der Junge, 소년
die Karte, 카드
die Kartoffel, 감자
die Kasse, 계산대
die Katze, 고양이
die Kette, 목걸이
die Kirche, 교회
der Kollege, 동료
die Küche, 주방
der Kunde, 고객
die Lampe, 램프
die Lüge, 거짓말
die Maschine, 기계
die Meinung, 의견
die Menge, 양
die Messe, 박람회
die Miete, 월세
die Mitte, 가운데
die Mode, 패션
die Mütze, 모자
der Nachbar, 이웃
die Note, 점수
die Notiz, 메모
die Nudel, 국수
die Nummer, 번호
die Orange, 오렌지
die Ordnung, 질서
die Pflanze, 식물
die Reihe, 줄
die Rose, 장미
die Sache, 물건
die Schere, 가위
die Schule, 학교
die Seife, 비누
die Seite, 페이지
die Sendung, 방송
die Situation, 상황
die Sonne, 태양
die Sprache, 언어
die Straße, 거리
die Suppe, 수프
die Tafel, 칠판
die Tasche, 가방
die Tasse, 컵
die Toilette, 화장실
die Tomate, 토마토
die Torte, 케이크
die Wäsche, 세탁물
die Wolke, 구름
die Zitrone, 레몬

[-en]
die Ahnung, 짐작
die Ankunft, 도착
die Anmeldung, 등록
die Antwort, 대답
die Arbeit, 일
die Ausbildung, 교육
die Ausstellung, 전시회
die Autobahn, 고속도로
die Bäckerei, 빵집
das Bett, 침대
die Bewerbung, 지원서
die Bibliothek, 도서관
die Bitte, 부탁
die Datei, 파일
die Ehefrau, 아내
die Einladung, 초대
die Entschuldigung, 사과
die Erfahrung, 경험
die Ermäßigung, 할인
die Firma, 회사
die Frau, 여자
die Führung, 안내
die Heizung, 난방
der Herr, 남자
die Hochzeit, 결혼식
die Information, 정보
die Krankheit, 병
die Kreuzung, 교차로
die Kultur, 문화
die Mailbox, 사서함
die Mannschaft, 팀
der Mensch, 사람
die Nachricht, 소식
die Pause, 쉬는 시간
die Person, 사람
die Qualität, 품질
die Rechnung, 계산서
die Reinigung, 세탁소
die Reparatur, 수리
die Rezeption, 리셉션
der Schmerz, 통증
die Sehenswürdigkeit, 관광 명소
die Straßenbahn, 전차
der Student, 학생
die Tour, 여행
der Tourist, 관광객
die Übersetzung, 번역
die Universität, 대학교
die Unterschrift, 서명
die Veranstaltung, 행사
die Verspätung, 지연
die Wohnung, 집
die Zahl, 숫자
die Zeitschrift, 잡지
die Zeitung, 신문

[-er]
das Bild, 그림
das Ei, 달걀
das Fahrrad, 자전거
das Glas, 유리잔
das Kind, 아이
das Kleid, 드레스
das Lied, 노래
das Schild, 표지판

[-se]
der Bus, 버스
das Erdgeschoss, 1층
das Ergebnis, 결과
das Zeugnis, 성적표

[-nen]
die Ärztin, 여의사
die Chefin, 여상사
die Freundin, 여자 친구
die Kollegin, 여동료
die Kundin, 여고객
die Nachbarin, 여이웃
die Partnerin, 여파트너
die Rentnerin, 여은퇴자
die Schülerin, 여학생
die Studentin, 여대생
die Touristin, 여관광객

[ä-]
der Apfel, 사과
der Flughafen, 공항
der Kindergarten, 유치원
der Vater, 아버지

[ä, -e]
der Anfang, 시작
die Angst, 두려움
die Bank, 은행
der Ball, 공
der Gast, 손님
der Plan, 계획
der Saft, 주스
die Stadt, 도시
der Traum, 꿈
der Unfall, 사고
der Vertrag, 계약

[ä, -er]
das Bad, 욕실
das Fach, 과목
das Land, 나라
das Schloss, 성

[ü-]
der Bruder, 남자 형제
die Mutter, 어머니

[ü, -e]
die Auskunft, 정보
der Aufzug, 엘리베이터
der Ausflug, 소풍
der Fuß, 발
